,months,id,Consumption
203,5,XA140D,0.0
204,5,XR100D,0.0
205,5,XR110D,0.0
206,5,XR115D,0.0
207,5,XR125D,26.710532335955953
208,5,XR140D,242.60862567521028
209,5,XR150D,46.552329948055494
210,6,AC036D,16.633198685375994
211,6,AC040D,69.83266614152731
212,6,AC050D,397.92500251954493
213,6,AC056D,446.3732369374938
214,6,AC063R,1255.9775677678115
215,6,AC075R,2193.496937105843
216,6,AC090R,456.8240517750004
217,6,AC100R,411.5882098611099
218,6,AC125R,287.84803104166735
219,6,AC140R,219.2858238435675
220,6,XA018D,0.0
221,6,XA025D,0.12544988441999996
222,6,XA028D,91.9086788784968
223,6,XA030D,21.614164999840003
224,6,XA036D,145.16232976921842
225,6,XA040D,248.79433133468262
226,6,XA050D,184.2241228695157
227,6,XA056D,553.3252716015029
228,6,XA063R,350.2529783456665
229,6,XA070D,202.777383994126
230,6,XA075R,1296.4354702908886
231,6,XA080D,375.3262214866672
232,6,XA090D,73.10153495855009
233,6,XA095D,0.0
234,6,XA100D,617.9220593161423
235,6,XA100R,548.1449960731804
236,6,XA110D,35.427407630027005
237,6,XA125D,593.7015779991318
238,6,XA140D,0.0
239,6,XR100D,0.0
240,6,XR110D,0.0
241,6,XR115D,0.0
242,6,XR125D,135.58398051041618
243,6,XR140D,257.57008921108917
244,6,XR150D,6.2990459087499975
245,7,AC036D,316.3744497328576
246,7,AC040D,196.2071670152
247,7,AC050D,554.3531770654151
248,7,AC056D,747.7184025351311
249,7,AC063R,786.0459630823041
250,7,AC075R,1098.0121274244063
251,7,AC090R,414.61909084166786
252,7,AC100R,290.39298166666765
253,7,AC125R,210.83761907451927
254,7,AC140R,18.575753
255,7,XA018D,0.0
256,7,XA025D,2.7715957728479985
257,7,XA028D,50.39097168534333
258,7,XA030D,26.82112143088005
259,7,XA036D,0.423355950528
260,7,XA040D,171.0455728854899
261,7,XA050D,228.37550634158904
262,7,XA056D,468.907412118509
263,7,XA063R,371.1647185297934
264,7,XA070D,406.2560034356288
265,7,XA075R,425.53376632812683
266,7,XA080D,1115.121175643296
267,7,XA090D,249.5685819947327
268,7,XA095D,0.0
269,7,XA100D,211.9481579996493
270,7,XA100R,1015.0292087444438
271,7,XA110D,98.63516636854992
272,7,XA125D,554.7798332125392
273,7,XA140D,0.0
274,7,XR100D,0.0
275,7,XR110D,0.0
276,7,XR115D,0.0
277,7,XR125D,107.86649294531256
278,7,XR140D,121.9343627730668
279,7,XR150D,39.57089416583331
280,8,AC036D,168.3582751851275
281,8,AC040D,470.05949486312653
282,8,AC050D,488.55179846458196
283,8,AC056D,785.0734840078319
284,8,AC063R,1418.4756395287734
285,8,AC075R,1886.2079213298666
286,8,AC090R,155.4353590124999
287,8,AC100R,400.3959370833345
288,8,AC125R,510.24645106816763
289,8,AC140R,83.9569866333332
290,8,XA018D,0.0
291,8,XA025D,23.00606446834733
292,8,XA028D,50.835727467350026
293,8,XA030D,244.31077914584728
294,8,XA036D,244.1106642984241
295,8,XA040D,208.5215467199712
296,8,XA050D,265.50025941345706
297,8,XA056D,438.09104250914567
298,8,XA063R,5.627000688750004
299,8,XA070D,556.7575381144363
300,8,XA075R,374.3275552216671
301,8,XA080D,306.6087655138652
302,8,XA090D,182.78988000247003
303,8,XA095D,0.28876373076249995
304,8,XA100D,411.49698340269066
305,8,XA100R,525.3012238950008
306,8,XA110D,42.27745010019999
307,8,XA125D,650.6963768802083
308,8,XA140D,0.0
309,8,XR100D,0.0
310,8,XR110D,0.0
311,8,XR115D,0.0
312,8,XR125D,69.9569191744791
313,8,XR140D,6.0633187524000025
314,8,XR150D,253.85523408041684
315,9,AC036D,88.26774106850947
316,9,AC040D,28.002618884799986
317,9,AC050D,168.18855822624857
318,9,AC056D,915.0395206276606
319,9,AC063R,511.3827605815825
320,9,AC075R,1418.5165650104157
321,9,AC090R,31.7379773375
322,9,AC100R,467.4694636111112
323,9,AC125R,504.6960526011036
324,9,AC140R,271.4733641277774
325,9,XA018D,0.0
326,9,XA025D,18.23857624827933
327,9,XA028D,49.035877302860136
328,9,XA030D,185.9919486841734
329,9,XA036D,130.78035264170128
330,9,XA040D,164.39667985371324
331,9,XA050D,206.35605747806716
332,9,XA056D,332.264763335258
333,9,XA063R,331.695533639682
334,9,XA070D,41.707468469585436
335,9,XA075R,577.6708182291653
336,9,XA080D,568.6911481081795
337,9,XA090D,164.12866699695113
338,9,XA095D,7.183118653812495
339,9,XA100D,247.92638671500006
340,9,XA100R,420.01105980263145
341,9,XA110D,176.82164183250026
342,9,XA125D,505.8700845227266
343,9,XA140D,0.0
344,9,XR100D,0.0
345,9,XR110D,0.0
346,9,XR115D,0.0
347,9,XR125D,327.3403296770814
348,9,XR140D,235.21642872500027
349,9,XR150D,32.42117287791665
350,10,AC036D,83.41511612733633
351,10,AC040D,185.2684491970675
352,10,AC050D,216.79215221125008
353,10,AC056D,478.5106587465587
354,10,AC063R,445.4405941910118
355,10,AC075R,581.9286008593738
356,10,AC090R,69.08132732083328
